word,meaning
feared animal,두려운 동물
seal,물개
swallow,삼키다
gulp,꿀꺽 삼키다
Killer whales hunt in packs of up to 40.,범고래는 최대 40마리까지 무리를 지어 사냥한다.
unusual,비범한
gray,회색
flood,홍수
curious,호기심 많은
human,인간
trained,훈련된
acrobatic,곡예의
somersault,공중제비
travel,여행하다
live in groups,무리지어 살다
herd,무리
beginning at birth,태어날 때부터
depend on,~에 의존하다
survival,생존
When a dolphin is born,돌고래가 태어났을 때
take care of,돌보다
calf,새끼
underwater,수중
come out tail first,꼬리부터 나오다
breathe,호흡하다
auntie,이모
weigh,무게를 달다
hungry,배고픈
nursing,젖을 먹는
double in size,크기가 두 배가 되다
protection,보호
flippers,지느러미
adult,성체
as long as,~하는 한
learn,배우다
communicate,소통하다
echolocation,반향정위
click,찰칵 소리
whistle,휘파람 소리
imitate,모방하다
develop,발달시키다
is filled with,~로 가득 차 있다
by touch,촉감으로
brush,스치다
the other is close by,다른 개체가 가까이 있다
behave,행동하다
push it to the bottom,바닥으로 밀다
butt,부딪치다
chase,쫓다
each other,서로
bubble,거품
leap out of the water,물 밖으로 뛰어오르다
fall back in,다시 물속으로 떨어지다
slap,치다
get attention,주의를 끌다
alongside,~와 나란히
especially,특히
playful,장난기 많은
throw,던지다
seaweed,해초
balance,균형
practice,연습하다
hunting,사냥
act as a team,팀으로 행동하다
Dolphins catch a lot more food than they would alone.,돌고래는 혼자일 때보다 훨씬 더 많은 먹이를 잡는다.
They communicate with each other about where the fish are.,그들은 물고기 위치에 대해 서로 소통한다.
cluster,무리
feast,잔치
as many as possible,가능한 한 많은
shallow,얕은
beach,해변
escape,도망치다
stomach,위
distress,고통
get to the surface,수면으로 올라가다
threaten,위협하다
protective,보호적인
for thousands of years,수천 년 동안
be interested in,~에 관심이 있다
ancient,고대의
Greeks,그리스인들
messenger,전령
god,신
human being,인간
command,명령하다
researcher,연구원
although,비록 ~이지만
share,공유하다
Sharks came from the first fish.,상어는 최초의 물고기에서 왔다.
jaw,턱
teeth,이빨
look like,~처럼 보이다
species,종
cold-blooded,냉혈의
lay eggs,알을 낳다
pygmy shark,피그미 상어
basking shark,큰입상어
important,중요한
in common,공통적으로
mammal,포유류
belong to,~에 속하다
skeleton,골격
made out of,~로 만들어진
bone,뼈
cartilage,연골
flexible,유연한
lifetime,일생
replace,대체하다
Shark's teeth come in all sizes and shapes.,상어 이빨은 모든 크기와 모양으로 나온다.
jagged,톱니 모양의
triangle,삼각형
narrow,좁은
rough,거친
skin,피부
injury,부상
ridge,능선
wound,상처
from side to side,좌우로
fin,지느러미
These two fins keep sharks from tipping from side to side.,이 두 지느러미는 상어가 좌우로 기울어지는 것을 막아준다.
lung,폐
gill,아가미
bloodstream,혈류
discovery,발견
fisherman,어부
The sharks seemed to be resting.,상어들은 쉬고 있는 듯했다.
pet,애완동물
extra,추가의
calm,고요한
