English,Korean
camera,카메라
city,시티
dress,드레스
evening,저녁
free,비어 있는
have,있다
ill,악
like,처럼
mother,어머니
old,낡은
police,경찰
remember,생각해 내다
street,거리
study,연구
teacher,선생님
voice,목소리
water,물
also,또한
box,상자
class,수업
difficult,어려운
drive,드라이브
food,음식
great,큰
happy,행복
change,변화
juice,주스
meet,만나다
need,필요한 것
pretty,예쁜
quite,아주
real,레알
sad,슬퍼
spring,봄
star,별
take,취하다
yes,예
action,동작
alone,혼자
breakfast,아침밥
continue,계속하다
dead,죽은
enjoy,즐겨
full,완전한
garden,정원
house,집
journey,여행
much,많은
nothing,아무것도
phone,전화
price,가격
result,결과
sister,여자 형제
sun,태양
tell,텔
view,전망
with,와
against,에 맞서
bus,버스
company,회사
desert,(n) 사막
expensive,비싼
flower,꽃
green,초록
church,교회에
impossible,불가능한
leave,떠나다
month,달
on,의 위에
plan,계획
possible,가능한
return,반환
save,저장
sea,바다
something,어떤 것
together,함께
woman,여자
anything,아무것도
army,육군
bad,나쁜
cover,덮개
culture,문화
decision,결정
example,예
feel,느낌
how,어떻게
island,섬
member,회원
next,다음
position,위치
present,(adj) 선물
record,(n) 기록
sleep,자다
sweet,단
try,시험
under,아래에
world,세계
after,후
bed,침대
buy,구입
catch,잡기
corner,모서리
distance,거리
education,교육
fast,빠른
here,여기
interest,관심
letter,편지
never,못
part,부품
president,대통령
round,일주
several,몇몇의
sound,소리
story,이야기
talk,이야기
week,주
almost,거의
bread,빵
control,제어
dear,소중한
every,마다
few,조금
gold,금
chief,주요한
invite,초대
late,늦은
most,대부분
only,뿐
product,생성물
public,공공의
receive,받다
sorry,죄송합니다
strong,강한
then,그때
too,너무
way,방법
across,건너서
art,미술
bring,가져오다
carry,나르다
confirm,확인
die,주사위
east,동쪽
group,그룹
hope,기대
industry,산업
look,보기
must,절대로 필요한 것
own,개인적인
personal,개인적인
reason,이유
service,서비스
shall,하여야 한다
stay,머무르다
their,그들의
wife,아내
away,떨어져
beautiful,아름다운
care,케어
cost,비용
deep,깊은
enough,충분히
fight,싸움
garage,차고
into,으로
keep,유지
miss,미스
other,다른
player,플레이어
rather,차라리
remain,남아있다
side,측면
south,남쪽
TRUE,진실
use,사용하다
who,누구
already,이미
become,지다
cause,원인
certain,어떤
describe,설명
dry,마른
expect,배고 있다
fact,것
hard,단단한
include,포함
let,허락하다
moment,순간
power,힘
provide,제공하다
report,보고서
seat,좌석
single,단일
system,체계
through,을 통하여
which,어느
apple,사과
blue,푸른
clock,시계
colour,색깔
different,다른
earth,지구
film,필름
glad,기쁜
hour,시
just,다만
love,사랑
number,번호
pencil,연필
quick,빨리
rain,비
simple,단순한
summer,여름
town,도시
tree,나무
window,창문
address,주소
building,건물
computer,컴퓨터
cross,가로 질러 가다
desk,책상
ear,귀
fish,물고기
glass,유리
ice,빙
key,키
minute,(n) 분
office,사무실
parent,부모의
post,우편
rock,록
search,검색
sport,스포츠
tea,차
valley,골짜기
walk,산책
airport,공항
baby,아가
card,카드
central,본부
direction,방향
dollar,달러
fruit,과일
gift,선물
high,높은
illness,질병
milk,우유
not,아니
piece,조각
protect,보호
race,경주
since,이후
slow,느린
smile,미소
ticket,티켓
well,잘
accident,사고
blood,피의
business,사업
during,동안
even,조차
floor,바닥
general,일반
choose,고르다
inform,알리다
little,작은
meeting,모임
order,주문
party,파티
pink,분홍
reply,댓글
snow,눈
sugar,설탕
travel,여행
virus,바이러스
watch,손목 시계
another,다른
believe,믿다
both,양자 모두
crazy,미친
cup,컵
decide,결정하다
ever,이제까지
field,들
heart,심장
imagine,상상하다
line,선
meat,고기
over,위에
pull,손잡이
ring,반지
sell,팔다
similar,비슷한
speed,속도
than,보다
your,너의
above,위
begin,시작하다
century,세기
consider,중히 여기다
dangerous,위험한
dark,어두운
exchange,교환
government,정부
hear,듣다
jump,도약
material,재료
near,근처에
past,과거
produce,생기게 하다
remove,없애다
secret,비밀
song,노래
television,텔레비전
value,값
when,언제
arm,팔
behind,뒤에
case,케이스
collect,수집
draw,무승부
examine,조사하다
fall,가을
grow,자라다
immediately,바로
low,낮은
mind,마음
off,떨어져서
pass,통과하다
radio,라디오
shoe,구두
station,역
sure,확실한
test,테스트
usual,보통의
while,동안
ago,전에
along,을 따라서
bear,곰
condition,질환
direct,곧장
edge,가장자리
fine,좋아
half,절반
chicken,치킨
increase,증가하다
magazine,매거진
nature,자연
plate,플레이트
poor,가난한
respect,존경
sharp,날카로운
sometimes,때때로
still,아직도
tall,긴
would,할 것이다
add,더하다
among,의 사이에
built,세워짐
common,흔한
depend,의존하다
early,이른
fly,파리
happen,우연히 있다
check,검사
introduce,설명하다
less,적게
mark,표
patient,환자
perhaps,혹시
rise,오르기
sense,감각
short,짧은
state,상태
turn,회전
will,의지
act,행위
appear,나타나다
break,단절
course,강좌
court,법정
discuss,논의하다
effect,효과
form,형태
hold,보류
insect,곤충
mean,평균
once,한번
purpose,목적
really,정말
ride,타기
situation,상태
success,성공
though,그러나
upon,에
war,전쟁
afternoon,대낮
busy,바쁜
coffee,커피
detail,세부 묘사
especially,특히
finish,끝
ground,바닥
holiday,휴일
choice,선택
kitchen,부엌
lesson,교훈
music,음악
orange,주황색
perfect,(adj) 완전한
request,의뢰
season,시즌
sick,병든
tomorrow,내일
welcome,어서 오십시오
yesterday,어제
agree,동의하다
bridge,다리
cake,케이크
customer,고객
date,데이트
enter,시작하다
future,미래
gentleman,신사
hair,머리
image,영상
language,언어
market,시장
plane,비행기
private,은밀한
restaurant,레스토랑
size,크기
sky,하늘
smart,똑똑한
thank,감사
weather,날씨
actor,배우
bottle,병
cloth,천
coat,코트
destroy,멸하다
everywhere,어디에나
finger,손가락
guide,안내서
improve,돌리다
knife,칼
large,큰
mistake,잘못
ocean,대양
plant,식물
repeat,반복
salt,소금
special,특별한
teach,가르치다
uncle,삼촌
winter,겨울
angry,성난
article,조
build,짓다
dirty,더러운
except,외
famous,유명한
gas,가스
hotel,호텔
cheap,싼
interview,회견
moon,달
nice,좋은
prepare,준비하다
prison,감옥
rice,쌀
seem,보다
skirt,치마
strange,이상한
train,기차
warm,따뜻한
account,계정
bird,새
cloud,구름
comfortable,편안
damage,피해를 주다
dust,먼지
exercise,운동
favourite,특히 잘하는
hospital,병원
joke,농담
message,메시지
night,밤
paint,페인트
pleasure,낙
relationship,관계
science,과학
serious,진지한
spend,보내다
tired,피곤한
wrong,잘못된
amount,양
bank,은행
brown,갈색
crowd,군중
deal,거래
engine,엔진
follow,따르다
chocolate,초콜릿
individual,개인
left,왼쪽
meal,식사
oil,기름
pain,고통
probably,아마
replace,바꾸다
society,사회
square,광장
step,단계
temperature,온도
university,대학
accept,동의하기
advance,전진
bag,가방
captain,선장
centre,센터
demand,수요
enemy,적
factory,공장
hungry,배고픈
illegal,불법
law,법
nose,코
petrol,가솔린
proud,교만한
responsible,책임
store,저장
successful,성공한
swim,수영
top,상단
win,승리
available,유효한
boat,보트
borrow,빌다
coast,연안
cream,크림
design,디자인
expression,표현
farm,농장
history,역사
injure,해치다
map,지도
obtain,얻다
peaceful,평화로운
practise,연습
recently,최근에
shape,모양
silver,은
smoke,연기
touch,접촉
wash,빨래
advantage,이점
attack,공격
butter,버터
club,클럽
college,칼리지
degree,정도
escape,탈출
gate,문
independent,독립적 인
listen,들리다
marry,얻다
object,목적
path,통로
quiet,조용한
refuse,폐물
subject,(n) 제목
supply,공급
taste,맛이 나다
usually,보통
vegetable,야채
arrange,가지런 히하다
below,이하
cigarette,담배
cottage,시골집
department,학과
earn,벌다
front,앞
gentle,부드러운
hat,모자
instrument,악기
machine,기계
newspaper,신문
parcel,꾸러미
religion,종교
repair,수리
serve,서브
shoulder,어깨
trip,여행
village,마을
wall,벽
arrive,태어나다
born,태어난
clothes,천
correct,옳은
double,더블
English,영어
forget,잊다
goal,골
hate,미움
kill,죽임
last,마지막
main,본관
pair,쌍
promise,약속
regular,정규병
somewhere,어딘가에
space,우주
these,이들
useful,유능한
without,없이
animal,동물
beer,맥주
calm,고요한
copy,부
dish,요리
express,표현하다
foreign,외국
guess,추측
husband,남편
lie,거짓말
mine,나의 것
opinion,의견
passenger,승객
press,프레스
rule,규칙
sign,기호
support,지원하다
those,그
wonderful,훌륭한
year,년
afraid,두려워
board,판
circle,원
count,카운트
death,죽음
discover,발견하다
funny,이상한
guest,손님
horse,말
lake,호수
modern,현대
necessary,필요한
plenty,많은
profit,이익
reduce,줄이다
share,공유
steal,훔치다
trust,믿음
wish,소원
young,젊은
admire,감탄하다
allow,허용하다
battle,전투
climb,상승
complete,완전한
divide,나누기
effort,노력
fresh,신선한
hole,구멍
indeed,과연
marriage,결혼
outside,외부
pleasant,쾌적한
point,포인트
recent,충적세
secretary,비서
sing,노래
soft,부드러운
third,제삼
various,여러
adventure,모험
although,이기는 하지만
bottom,바닥
coin,동전
comfort,위로
drop,하락
equal,같은
gun,총
intelligent,지적인
join,어울리다
laugh,웃음
middle,가운데
perform,행하다
plain,평원
row,열
soldier,병사
surface,표면
thick,두꺼운
until,까지
wild,야생
attempt,시도
bill,계산서
breathe,숨을 쉬다
cook,쿡
defend,지키다
fat,지방
grey,회색
hot,뜨거운
character,캐릭터
import,수입
lose,잃다
mountain,산
operation,조작
prize,상
risk,위험
safe,안전한
suddenly,갑자기
suit,소송
type,유형
wood,목재
area,지역
asleep,죽어
bath,목욕
careless,경솔한
delay,지연
event,행사
foot,발
hide,숨는 장소
chain,체인
international,국제적인
match,시합
nervous,긴장한
pity,동정
prove,알다
raise,올리다
shut,닫은
smell,냄새
straight,직진
trade,무역
variety,종류
admit,인정하다
attend,참석하다
branch,분기
coal,석탄
consist,이루어져 있다
declare,알리다
exact,정확한
farmer,농장주
instead,대신
jacket,재킷
leg,다리
metal,금속
opposite,반대말
pound,파운드
roll,롤
score,점수
shoot,사격
speech,연설
toilet,화장실
whose,누구의
attitude,태도
brave,용감한
contain,있다
doubt,의심
experience,경험
flat,플랫
guard,가드
heavy,무거운
charge,요금
iron,철
medicine,약
noise,소음
politics,정치
pour,붓다
rush,돌진
smooth,부드러운
spread,확산
suggest,제안하다
trouble,수고
west,서쪽
average,평균
belong,있다
certainly,확실히
crime,범죄
duty,의무
either,어느 한 쪽
fail,불합격
health,건강
influence,영향
leader,리더
measure,법안
offer,제공
pile,말뚝
regard,관련
rough,거칠게
series,시리즈
spoil,약탈
spot,자리
thin,얇은
vote,투표
